likesCount,ownerUsername,postUrl,text,timestamp,cleaned_comment,cleaned_comment_with_text_emojis,translated_comments
1.0,tresemeiopodcast,https://www.instagram.com/p/CzL05zdNEp8/,@500tinho Nunca perdoarei a Fiat por isso 🥹,2023-11-03T13:58:13.000Z,tinho nunca perdoarei fiat por isso,tinho nunca perdoarei fiat por isso face holding back tear,tinho will never forgive fiat for this
0.0,tresemeiopodcast,https://www.instagram.com/p/CzL05zdNEp8/,"@lucaskauan_amorim Acho que eles previram errado o nosso mercado. Eu entenderia ter dado prioridade para o Renegade, a fim de fortalecer a Jeep no início, mas jamais deixaria de trazer o 500X",2023-11-03T13:59:18.000Z,lucaskauan amorim acho que eles previram errado nosso mercado eu entenderia ter dado prioridade para renegade fim de fortalecer jeep início ma jamais deixaria de trazer x,lucaskauan amorim acho que eles previram errado nosso mercado eu entenderia ter dado prioridade para renegade fim de fortalecer jeep início ma jamais deixaria de trazer x,lucaskauan amorim i think they predicted our market wrong i would understand giving priority to renegade in order to strengthen jeep's start but i would never stop bringing x
1.0,tresemeiopodcast,https://www.instagram.com/p/CzL05zdNEp8/,@tipeiros_amor_e_dedicacao 🙌🙌🙌,2023-11-03T13:59:34.000Z,tipeiros amor e dedicacao,tipeiros amor e dedicacao raising hand raising hand raising hand,love and dedication
1.0,cortedegiro_,https://www.instagram.com/p/CzL05zdNEp8/,Já vi desse carrinho por aí 😍😍 o 500X e lindo,2023-11-03T14:20:46.000Z,já vi desse carrinho por aí x e lindo,já vi desse carrinho por aí smiling face heart eye smiling face heart eye x e lindo,i've seen this pram around x it's beautiful
2.0,cortedegiro_,https://www.instagram.com/p/CzL05zdNEp8/,Bonito né @danubiacarmennunes ?,2023-11-03T14:21:25.000Z,bonito né danubiacarmennunes,bonito né danubiacarmennunes,bonito nor danubiacarmennunes
1.0,tresemeiopodcast,https://www.instagram.com/p/CzL05zdNEp8/,@cortedegiro_ Ele é maravilhoso! 😍,2023-11-03T14:40:50.000Z,cortedegiro ele é maravilhoso,cortedegiro ele é maravilhoso smiling face heart eye,cortedegiro he's marvellous
1.0,suvsfiat,https://www.instagram.com/p/CzL05zdNEp8/,Eu só posso concordar!!!!! Muito triste não ter tido o 500X aqui no Brasil. 😿😿😿😿😿😿,2023-11-03T14:53:41.000Z,eu só posso concordar muito triste não ter tido x aqui brasil,eu só posso concordar muito triste não ter tido x aqui brasil cry cat cry cat cry cat cry cat cry cat cry cat,i can only agree that it's very sad not to have had x here in brazil
1.0,ymatheusg_,https://www.instagram.com/p/CzL05zdNEp8/,Verdade,2023-11-03T18:06:28.000Z,verdade,verdade,the truth
0.0,tresemeiopodcast,https://www.instagram.com/p/CzL05zdNEp8/,@suvsfiat Triste demais 😢,2023-11-03T18:55:41.000Z,suvsfiat triste demais,suvsfiat triste demais cry face,suvsfiat sad demais
1.0,tresemeiopodcast,https://www.instagram.com/p/CzL05zdNEp8/,"@ymatheusg_ Complicado, né?! 🫡",2023-11-03T18:56:15.000Z,ymatheusg complicado né,ymatheusg complicado né saluting face,ymatheusg complicated right
1.0,borba_cassimiro,https://www.instagram.com/p/CzL05zdNEp8/,Com certeza,2023-11-04T01:54:51.000Z,com certeza,com certeza,for sure
0.0,tresemeiopodcast,https://www.instagram.com/p/CzL05zdNEp8/,@pedro.cassimiro_03 🙌,2023-11-04T11:13:56.000Z,pedro cassimiro,pedro cassimiro raising hand,pedro cassimiro
1.0,gabrielriosp,https://www.instagram.com/p/CzL05zdNEp8/,Faltou o panda 4x4,2023-11-20T12:52:45.000Z,faltou panda x,faltou panda x,missing panda x
0.0,dayerazevedo,https://www.instagram.com/p/CzL05zdNEp8/,Carro q faria muito sucesso no Brasil… a explicação da Fiat foi zero,2023-11-21T11:01:30.000Z,carro q faria muito sucesso brasil explicação da fiat foi zero,carro q faria muito sucesso brasil explicação da fiat foi zero,a car that would have been very successful in brazil fiat's explanation was zero
1.0,hiroichi875,https://www.instagram.com/p/C1ct09-hWtD/,"改めて見るとこのドルチェは1番の女子女子仕様のチンクですね👍
貴重な一台！😀",2023-12-30T06:02:52.000Z,改めて見るとこのドルチェは番の女子女子仕様のチンクですね 貴重な一台,改めて見るとこのドルチェは番の女子女子仕様のチンクですね thumb 貴重な一台 grinning face,"Once again, this Dolce is the chink in the number girl's girl's specification, a valuable one."
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C1ct09-hWtD/,@hiroichi875 貴重な一台‼️😍😍ありがとうございます😊,2023-12-30T06:20:18.000Z,hiroichi 貴重な一台 ありがとうございます,hiroichi 貴重な一台 double exclamation mark smiling face heart eye smiling face heart eye ありがとうございます smiling face smiling eye,"HIROICHI Thank you, precious one."
1.0,susiboy,https://www.instagram.com/p/C1ct09-hWtD/,ボディカラーの白色が絶妙で素敵ぃ〜！,2023-12-30T10:34:08.000Z,ボディカラーの白色が絶妙で素敵ぃ,ボディカラーの白色が絶妙で素敵ぃ,The white of the body colour is exquisite and beautiful.
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C1ct09-hWtD/,@susiboy ありがとうございますぅ😍😍ボディの白色（ボサノバホワイト）と赤のダブルラインとの色合いもお気に入りポイントです🤍❤️,2023-12-30T10:46:09.000Z,susiboy ありがとうございますぅ ボディの白色 ボサノバホワイト と赤のダブルラインとの色合いもお気に入りポイントです,susiboy ありがとうございますぅ smiling face heart eye smiling face heart eye ボディの白色 ボサノバホワイト と赤のダブルラインとの色合いもお気に入りポイントです white heart red heart,"The white of the body, bossa nova white, and the double line of red are also my favourite points."
1.0,susiboy,https://www.instagram.com/p/C1ct09-hWtD/,@fiat_dolcevita 内装もすっごく良いですよねぇ〜！お気に入りのカワイイ愛車があると毎日が楽しいですね😊 モデルチェンジして電気になっっちゃったのが惜しい限りです。,2023-12-30T11:07:22.000Z,fiat dolcevita 内装もすっごく良いですよねぇ お気に入りのカワイイ愛車があると毎日が楽しいですね モデルチェンジして電気になっっちゃったのが惜しい限りです,fiat dolcevita 内装もすっごく良いですよねぇ お気に入りのカワイイ愛車があると毎日が楽しいですね smiling face smiling eye モデルチェンジして電気になっっちゃったのが惜しい限りです,"The interior of the fiat dolcevita is really nice, isn't it?"
0.0,fiat_500c_dolcevita,https://www.instagram.com/p/C1ct09-hWtD/,@susiboy 内装もわたしの好みにドンピシャの500でした🤗エンジンの音も好きなので電気自動車では味わえなくなるのが惜しいです😢,2023-12-30T11:40:55.000Z,susiboy 内装もわたしの好みにドンピシャのでした エンジンの音も好きなので電気自動車では味わえなくなるのが惜しいです,susiboy 内装もわたしの好みにドンピシャのでした smiling face open hand エンジンの音も好きなので電気自動車では味わえなくなるのが惜しいです cry face,"susiboy The interior is just the way I like it. I also like the sound of the engine, which I will miss in an electric car."
1.0,misalunlun,https://www.instagram.com/p/C1ct09-hWtD/,何度見ても、このホイールの色といいバランスが最高に素敵ｷﾗｷﾗ☆,2023-12-30T12:04:06.000Z,何度見ても このホイールの色といいバランスが最高に素敵ｷﾗｷﾗ,何度見ても このホイールの色といいバランスが最高に素敵ｷﾗｷﾗ,"I've seen it again and again, and the colour and the balance of the wheels are just perfect... sparkling."
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C1ct09-hWtD/,@misalunlun さーんありがとうございます😊ミサさんの500も新旧ともに最高に可愛い子ちゃんですね〜🤍🩵,2023-12-30T13:14:30.000Z,misalunlun さーんありがとうございます ミサさんのも新旧ともに最高に可愛い子ちゃんですね,misalunlun さーんありがとうございます smiling face smiling eye ミサさんのも新旧ともに最高に可愛い子ちゃんですね white heart light blue heart,"Thank you, misalunlun!"
0.0,yuzuruiizuka,https://www.instagram.com/p/C1ct09-hWtD/,"私も…ディーラーで3年前に衝動買いのチンクエチェントでしたが、走りが楽しいこと😃‼️

これからも長く乗り続けますよう‼️",2023-12-31T06:17:01.000Z,私も ディーラーで年前に衝動買いのチンクエチェントでしたが 走りが楽しいこと これからも長く乗り続けますよう,私も ディーラーで年前に衝動買いのチンクエチェントでしたが 走りが楽しいこと grinning face big eye double exclamation mark これからも長く乗り続けますよう double exclamation mark,"I bought my Cinquecento on impulse from the dealer a year ago, but it's a joy to drive, and I hope I'll be driving it for a long time to come."
1.0,shig.500c,https://www.instagram.com/p/C1ct09-hWtD/,下からの寄り、めっちゃか〜っこいい〜✨😍,2023-12-31T09:35:14.000Z,下からの寄り めっちゃか っこいい,下からの寄り めっちゃか っこいい sparkle smiling face heart eye,It's really cool!
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C1ct09-hWtD/,@shig.500c これプロカメラマンだからの素晴らしい技ですよね〜😍とワタシではこうは撮れないのでほんとに宝物の写真です✨✨,2023-12-31T09:57:30.000Z,shig c これプロカメラマンだからの素晴らしい技ですよね とワタシではこうは撮れないのでほんとに宝物の写真です,shig c これプロカメラマンだからの素晴らしい技ですよね smiling face heart eye とワタシではこうは撮れないのでほんとに宝物の写真です sparkle sparkle,"shig c This is a wonderful technique for a professional photographer, and I can't take pictures like this, so it's a real treasure."
1.0,xabeli74,https://www.instagram.com/p/C3F5uT7IzxS/,😍😍😍,2024-02-08T18:45:19.000Z,,smiling face heart eye smiling face heart eye smiling face heart eye,
1.0,red._.lovely._.500,https://www.instagram.com/p/C38qcRUBDqs/,"仲良し母娘で羨ましいです🥹
河津桜とチンクちゃんもとっても素敵ですね🌸",2024-02-29T22:24:45.000Z,仲良し母娘で羨ましいです 河津桜とチンクちゃんもとっても素敵ですね,仲良し母娘で羨ましいです face holding back tear 河津桜とチンクちゃんもとっても素敵ですね cherry blossom,"I envy you, you're such a good friend, mother and daughter. Kawazu-zakura and Chinku-chan are very nice too."
1.0,tomohiro595,https://www.instagram.com/p/C38qcRUBDqs/,最後にチラッと青空が入ってるのが良いですね！🤩✨,2024-02-29T22:37:31.000Z,最後にチラッと青空が入ってるのが良いですね,最後にチラッと青空が入ってるのが良いですね star struck sparkle,I like the glimpse of blue sky at the end.
1.0,hiro.bon.bon.bon,https://www.instagram.com/p/C38qcRUBDqs/,ほんとお疲れ様でしたー綺麗に撮れてる〜🌸もう眠くて夢の中に居たようだったよねーきっと桜の楽園🌸🌸🌸,2024-02-29T22:54:19.000Z,ほんとお疲れ様でしたー綺麗に撮れてる もう眠くて夢の中に居たようだったよねーきっと桜の楽園,ほんとお疲れ様でしたー綺麗に撮れてる cherry blossom もう眠くて夢の中に居たようだったよねーきっと桜の楽園 cherry blossom cherry blossom cherry blossom,"You've really worked hard - beautiful shots. You were so sleepy already, it was like you were in a dream - surely a cherry blossom paradise."
1.0,cremino2012,https://www.instagram.com/p/C38qcRUBDqs/,"どの写真もとっても素敵ですね🌸
特に3枚目が可愛いです😊🌸",2024-02-29T23:43:45.000Z,どの写真もとっても素敵ですね 特に枚目が可愛いです,どの写真もとっても素敵ですね cherry blossom 特に枚目が可愛いです smiling face smiling eye cherry blossom,"All the photos are so lovely, especially the first one."
1.0,omikanorange,https://www.instagram.com/p/C38qcRUBDqs/,わぁ〜囲まれてる〜🌸満開ですね♪早起きした甲斐があるね〜🌸お嬢さんと一緒いいなぁ〜うちは娘と滅多に会えないから羨ましいです😊,2024-03-01T00:23:25.000Z,わぁ 囲まれてる 満開ですね 早起きした甲斐があるね お嬢さんと一緒いいなぁ うちは娘と滅多に会えないから羨ましいです,わぁ 囲まれてる cherry blossom 満開ですね 早起きした甲斐があるね cherry blossom お嬢さんと一緒いいなぁ うちは娘と滅多に会えないから羨ましいです smiling face smiling eye,"Wow, you're surrounded. You're in full bloom. It's worth getting up early. It's nice to be with your daughter. I'm jealous because I rarely see my daughter."
1.0,shig.500c,https://www.instagram.com/p/C38qcRUBDqs/,"撮ってるところとその撮った写真ですね🌸🚗🤳仲良しさん、微笑ましき☺️
妄想話は楽しいですよね🎶キャッキャしちゃう🥰",2024-03-01T03:47:41.000Z,撮ってるところとその撮った写真ですね 仲良しさん 微笑ましき 妄想話は楽しいですよね キャッキャしちゃう,撮ってるところとその撮った写真ですね cherry blossom automobile selfie 仲良しさん 微笑ましき smiling face 妄想話は楽しいですよね musical note キャッキャしちゃう smiling face heart,The photo you're taking and the photos you've taken.
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C38qcRUBDqs/,"@shig.500c そうなんです！
🚗チンクだけ写ってるのは娘が撮ってた写真です👏気づいてもらえて嬉しいです〜😍",2024-03-01T11:20:54.000Z,shig c そうなんです チンクだけ写ってるのは娘が撮ってた写真です 気づいてもらえて嬉しいです,shig c そうなんです automobile チンクだけ写ってるのは娘が撮ってた写真です clapping hand 気づいてもらえて嬉しいです smiling face heart eye,"shig c Yes, the one with just the chink in it is a photo my daughter was taking, glad you noticed."
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C38qcRUBDqs/,@hiro.bon.bon.bon ちゃんありがとうございます〜🌸あれからもう2週間経ちますね〜時の経つのは早い🫢この場所では眠い💤🥱けど🌸撮りたいって感じでした😆,2024-03-01T11:43:11.000Z,hiro bon bon bon ちゃんありがとうございます あれからもう週間経ちますね 時の経つのは早い この場所では眠い けど 撮りたいって感じでした,hiro bon bon bon ちゃんありがとうございます cherry blossom あれからもう週間経ちますね 時の経つのは早い face open eye hand mouth この場所では眠い zzz yawning face けど cherry blossom 撮りたいって感じでした grinning squinting face,"Thank you, hiro bon bon. It's already been a week. Time flies. I was sleepy in this place, but I wanted to take pictures."
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C38qcRUBDqs/,@red._.lovely._.500 さん💕ありがとうございます🤗毎回お願い🙏って娘に懇願してる母です笑笑,2024-03-01T11:45:32.000Z,red lovely さん ありがとうございます 毎回お願い って娘に懇願してる母です笑笑,red lovely さん two heart ありがとうございます smiling face open hand 毎回お願い folded hand って娘に懇願してる母です笑笑,"Thank you, red lovely, I'm the mother who begs her daughter for every single time lol."
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C38qcRUBDqs/,@cremino2012 さんありがとうございます🤗３枚目🌸はわたしもお気に入りです〜☺️,2024-03-01T11:50:10.000Z,cremino さんありがとうございます 枚目 はわたしもお気に入りです,cremino さんありがとうございます smiling face open hand 枚目 cherry blossom はわたしもお気に入りです smiling face,Thank you cremino! The first one is my favourite too!
1.0,red._.lovely._.500,https://www.instagram.com/p/C38qcRUBDqs/,@fiat_dolcevita さん　私も首都高がどーしても苦手で…その時は息子にかな〜〜り前からお願いして運転してもらいますよ😅😅,2024-03-01T11:52:53.000Z,fiat dolcevita さん 私も首都高がどーしても苦手で その時は息子にかな り前からお願いして運転してもらいますよ,fiat dolcevita さん 私も首都高がどーしても苦手で その時は息子にかな り前からお願いして運転してもらいますよ grinning face sweat grinning face sweat,"fiat dolcevita I'm not very good on the Metropolitan Expressway either, so I'll ask my son to drive for me long before I get there."
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C38qcRUBDqs/,@omikanorange さん🧡ありがとうございます😍いつもムリーっ😩て言いながらも付き合ってくれる娘に感謝です🤗,2024-03-01T11:55:10.000Z,omikanorange さん ありがとうございます いつもムリーっ て言いながらも付き合ってくれる娘に感謝です,omikanorange さん orange heart ありがとうございます smiling face heart eye いつもムリーっ weary face て言いながらも付き合ってくれる娘に感謝です smiling face open hand,"Thank you, omikanorange. Thank you to my daughter, who is always saying ""moooie"", but she's always there for me."
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C38qcRUBDqs/,@tomohiro595 さんありがとうございます☺️空大事ですよねー‼️勉強になります🤗,2024-03-01T11:56:04.000Z,tomohiro さんありがとうございます 空大事ですよねー 勉強になります,tomohiro さんありがとうございます smiling face 空大事ですよねー double exclamation mark 勉強になります smiling face open hand,"Thank you tomohiro, the sky is important - I'm learning a lot."
1.0,yuyuka426,https://www.instagram.com/p/C38qcRUBDqs/,可愛い🌸コラボですね✨優しいお嬢さんですね🥰,2024-03-01T11:59:02.000Z,可愛い コラボですね 優しいお嬢さんですね,可愛い cherry blossom コラボですね sparkle 優しいお嬢さんですね smiling face heart,"Lovely collaboration, that's sweet of you, miss."
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C38qcRUBDqs/,@red._.lovely._.500 同じですね〜☺️イヤイヤ言いながらもいつも楽しんでいる様子なのでまたお願い🙏してしまいます🤗,2024-03-01T12:28:47.000Z,red lovely 同じですね イヤイヤ言いながらもいつも楽しんでいる様子なのでまたお願い してしまいます,red lovely 同じですね smiling face イヤイヤ言いながらもいつも楽しんでいる様子なのでまたお願い folded hand してしまいます smiling face open hand,"red lovely Same here... she always seems to be enjoying herself, despite her reluctance, so I'll be asking her to do it again."
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C38qcRUBDqs/,@yuyuka426 さん💕ありがとうございます🤗ホント娘に感謝です〜‼️,2024-03-01T12:30:02.000Z,yuyuka さん ありがとうございます ホント娘に感謝です,yuyuka さん two heart ありがとうございます smiling face open hand ホント娘に感謝です double exclamation mark,"Thank you, yuyuka. Thank you so much for my daughter."
1.0,topolina_rossa,https://www.instagram.com/p/C38qcRUBDqs/,大谷のお相手はエミケルだと信じています　😂,2024-03-01T14:57:26.000Z,大谷のお相手はエミケルだと信じています,大谷のお相手はエミケルだと信じています face tear joy,We believe Otani's partner is Emikel.
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/C38qcRUBDqs/,@topolina_rossa 😆どうやら😅まぼろしぃーーーー☝️,2024-03-01T20:17:07.000Z,topolina rossa どうやら まぼろしぃーーーー,topolina rossa grinning squinting face どうやら grinning face sweat まぼろしぃーーーー index pointing,"topolina rossa Apparently, it's a maboroshi."
1.0,natasjasoeterboek,https://www.instagram.com/p/Cw5rA0qoCns/,Prachtig 😍🇮🇹👌🏼,2023-09-07T20:43:03.000Z,prachtig,prachtig smiling face heart eye italy ok hand medium light skin tone,splendid
1.0,leukwagentje.nl,https://www.instagram.com/p/Cs_H2EMrCfl/,#Leukwagentje #leukwagentjenl  #fiat500 #fiat500specialist #Fiat #500 #fiat500cabrio #fiat500dolcevita #auto #fiat500collezione #occasion #fiat500anniversario #cars #fiat50060th #fiat500spiaggina #specialedition #fiat500clubnederland #Nederland #Google #review,2023-06-02T11:31:38.000Z,leukwagentje leukwagentjenl fiat fiatspecialist fiat fiatcabrio fiatdolcevita auto fiatcollezione occasion fiatanniversario car fiatth fiatspiaggina specialedition fiatclubnederland nederland google review,leukwagentje leukwagentjenl fiat fiatspecialist fiat fiatcabrio fiatdolcevita auto fiatcollezione occasion fiatanniversario car fiatth fiatspiaggina specialedition fiatclubnederland nederland google review,leukwagentje leukwagentjenl fiat fiatspecialist fiatcabrio fiatdolcevita auto fiatcollezione occasion fiatanniversario car fiatth fiatspiaggina specialedition fiatclubnederland google review
0.0,itz_fizza13_,https://www.instagram.com/p/Cs_H2EMrCfl/,💗Send it on👉  @the_.car_club,2023-06-02T11:36:10.000Z,send car club,growing heart send backhand index pointing right car club,send car club
1.0,yvonne_heldens,https://www.instagram.com/p/Cs_H2EMrCfl/,En nu nog in t zwart! 🤗,2023-06-02T20:42:37.000Z,en nu nog zwart,en nu nog zwart smiling face open hand,and now black
1.0,fleurnicolinaa,https://www.instagram.com/p/Cs_H2EMrCfl/,🔥,2023-06-04T09:02:18.000Z,,fire,
1.0,5o_olllllllo_ve,https://www.instagram.com/p/CrwdczBhsyx/,埋もれてるドルチェヴィータも可愛いです😊いろんなお花咲くのが早くなってますよね💦ちょっと遠いですが壁でお待ちしておりまーす🍀大使より🤭,2023-05-02T22:34:18.000Z,埋もれてるドルチェヴィータも可愛いです いろんなお花咲くのが早くなってますよね ちょっと遠いですが壁でお待ちしておりまーす 大使より,埋もれてるドルチェヴィータも可愛いです smiling face smiling eye いろんなお花咲くのが早くなってますよね sweat droplet ちょっと遠いですが壁でお待ちしておりまーす four leaf clover 大使より face hand mouth,The dolce vita buried in the ground is pretty too.
1.0,mashi_ss,https://www.instagram.com/p/CrwdczBhsyx/,"😍間に合って良かったですね👏👏
どの花も今年は平年より早いですね",2023-05-02T22:37:27.000Z,間に合って良かったですね どの花も今年は平年より早いですね,smiling face heart eye 間に合って良かったですね clapping hand clapping hand どの花も今年は平年より早いですね,I'm glad you made it in time. All the flowers are earlier than normal this year.
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/CrwdczBhsyx/,"@mashi_ss なんとか間に合いましたーー👍👍
次は紫陽花かしら️⁉️逃さず撮れますように🚗💜💙",2023-05-02T23:29:34.000Z,mashi s なんとか間に合いましたーー 次は紫陽花かしら 逃さず撮れますように,mashi s なんとか間に合いましたーー thumb thumb 次は紫陽花かしら exclamation question mark 逃さず撮れますように automobile purple heart blue heart,"mashi s I managed to get there in time - maybe hydrangeas next time, I hope I don't miss anything!"
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/CrwdczBhsyx/,"@5o_olllllllo_ve 🍀大使〜💕今年もたくさんの見惚れる写真を見せていただき眼福でございました😍😍
来年は憧れの場所でご一緒したいです🎶",2023-05-02T23:33:11.000Z,olllllllo 大使 今年もたくさんの見惚れる写真を見せていただき眼福でございました 来年は憧れの場所でご一緒したいです,olllllllo four leaf clover 大使 two heart 今年もたくさんの見惚れる写真を見せていただき眼福でございました smiling face heart eye smiling face heart eye 来年は憧れの場所でご一緒したいです musical note,Ambassador Olllllllllo It has been a pleasure to see so many fabulous photos this year. I hope to join you next year in a place I've always dreamed of.
1.0,ikuchon2,https://www.instagram.com/p/CrwdczBhsyx/,青空にキレイなツツジ素敵ですね～🍀🚘️🍀,2023-05-02T23:43:34.000Z,青空にキレイなツツジ素敵ですね,青空にキレイなツツジ素敵ですね four leaf clover oncoming automobile four leaf clover,"Beautiful azaleas against the blue sky, lovely."
1.0,hide_500c,https://www.instagram.com/p/CrwdczBhsyx/,私もツツジの壁撮りたいです😍,2023-05-02T23:47:26.000Z,私もツツジの壁撮りたいです,私もツツジの壁撮りたいです smiling face heart eye,I want to photograph a wall of azaleas too!
1.0,fiat_500c_dolcevita,https://www.instagram.com/p/CrwdczBhsyx/,"@ikuchon2 😍ありがとうございます💕
つつじの濃いピンク色が好みです〜💗",2023-05-02T23:48:15.000Z,ikuchon ありがとうございます つつじの濃いピンク色が好みです,ikuchon smiling face heart eye ありがとうございます two heart つつじの濃いピンク色が好みです growing heart,ikuchon Thank you I prefer the dark pink colour of azaleas.
